Licitacao,Relatorio,Orgao,Descricao,Objeto,Arquivo,Conteudo,Link,Status,Itens
46068425000133-1-001271/2025,46068425000133-1-001271-2025.md,UNIVERSIDADE ESTADUAL DE CAMPINAS,Edital nº 90289/2025,"Contratação de serviços contínuos de produção e distribuição de refeições para os restaurantes universitários dos campi de Campinas, Limeira e Piracicaba",45016105902892025000.zip,Edital PE DGA 90289-2025.zip; Edital PE DGA 90289-2025.zip/6.Planta Restaurante Saturnino - RS - Imagem I.pdf; Edital PE DGA 90289-2025.zip/1.Edital PE DGA n° 90289-2025.pdf; Edital PE DGA 90289-2025.zip/2.Modelo de proposta.xlsx; Edital PE DGA 90289-2025.zip/3.Anexo II TR - Contêiner RS.jpg; Edital PE DGA 90289-2025.zip/4.ANEXO VI- Plantas Baixas do RU - Imagem I.tif; Edital PE DGA 90289-2025.zip/5.Plantas Baixas do RU - Imagem II.pdf; RelacaoItens45016105902892025000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/46068425000133/compras/2025/1271/arquivos/1,Ativo,"Refeições Industriais - Preparo / Distribuição (R$ 0,00)"
46068425000133-1-001940/2024,46068425000133-1-001940-2024.md,UNIVERSIDADE ESTADUAL DE CAMPINAS,Ato que autoriza a Contratação Direta nº 1319/2024,Contratação Para Serviços de Alimentação Coletiva Aos Restaurantes Universitários E Área Da Saúde,Ato+de+Dispensa.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/46068425000133/compras/2024/1940/arquivos/2,Ativo,"Refeições Industriais - Preparo / Distribuição Refeições Industriais - Preparo / Distribuição (R$ 1.527.397,80); Refeições Industriais - Preparo / Distribuição Refeições Industriais - Preparo / Distribuição (R$ 55.446.755,00)"
46068425000133-1-001940/2024,46068425000133-1-001940-2024.md,UNIVERSIDADE ESTADUAL DE CAMPINAS,Ato que autoriza a Contratação Direta nº 1319/2024,Contratação Para Serviços de Alimentação Coletiva Aos Restaurantes Universitários E Área Da Saúde,Termo+de+Referencia.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/46068425000133/compras/2024/1940/arquivos/1,Ativo,"Refeições Industriais - Preparo / Distribuição Refeições Industriais - Preparo / Distribuição (R$ 1.527.397,80); Refeições Industriais - Preparo / Distribuição Refeições Industriais - Preparo / Distribuição (R$ 55.446.755,00)"
46068425000133-1-002257/2025,46068425000133-1-002257-2025.md,UNIVERSIDADE ESTADUAL DE CAMPINAS,Edital nº 90420/2025,"Contratação de serviços contínuos de produção e distribuição de refeições para os restaurantes universitários dos campi de Campinas, Limeira e Piracicaba.",45016105904202025000.zip,6. Edital PE DGA 90420-2025.zip; 6. Edital PE DGA 90420-2025.zip/6. Planta Restaurante Saturnino - RS - Imagem I.pdf; 6. Edital PE DGA 90420-2025.zip/1. Edital PE DGA n° 90420-2025_5137513.pdf; 6. Edital PE DGA 90420-2025.zip/2. Modelo de proposta.xlsx; 6. Edital PE DGA 90420-2025.zip/3. Anexo II TR - Contêiner RS.jpg; 6. Edital PE DGA 90420-2025.zip/4. ANEXO VI- Plantas Baixas do RU - Imagem I.tif; 6. Edital PE DGA 90420-2025.zip/5. Plantas Baixas do RU - Imagem II.pdf; RelacaoItens45016105904202025000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/46068425000133/compras/2025/2257/arquivos/1,Ativo,"Refeições Industriais - Preparo / Distribuição (R$ 0,00)"
78640489000153-1-000008/2025,78640489000153-1-000008-2025.md,UNIVERSIDADE ESTADUAL DE LONDRINA,Aviso de Contratação Direta nº 90426/2025,Aquisição de tampa para copo descartavel e comprimido efervecente para atender o Restaurante Universitario-UEL e Hospital Universitario de Londrina,AVISO.DIS.ELE.CT.426.2024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/78640489000153/compras/2025/8/arquivos/1,Ativo,"Hipoclorito De Sódio (R$ 0,00); Tampa Copo (R$ 0,00)"
78640489000153-1-000072/2025,78640489000153-1-000072-2025.md,UNIVERSIDADE ESTADUAL DE LONDRINA,Ato que autoriza a Contratação Direta nº 5076/2025,"AQUISIÇÃO DE ALHO FRESCO DESCASCADO, CAFÉ SOLÚVEL, ESPESSANTE E GELIFICANTE PARA ALIMENTOS, PARA ATENDER O RESTAURANTE UNIVERSITÁRIO E HOSPITAL UNIVERSITÁRIO DE LONDRINA.",tr_dl_423_2024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/78640489000153/compras/2025/72/arquivos/1,Ativo,"8919.59048-Módulo de espessante, APRESENTAÇÃO: Indicado para pacientes com disfagia, para modificação da consistência de alimentos frios e quentes, COMPOSIÇÃO: À base de espessante goma xantana e gelificante cloreto de potássio, quando armazenadas e preparadas de acordo com as instruções do fabricante, devem apresentar estabilidade, homogeneização e viscosidade adequadas, EMBALAGEM: Sachê de 1g a 1,5g, UNID. DE MEDIDA: Grama (R$ 165,00)"
78640489000153-1-000073/2025,78640489000153-1-000073-2025.md,UNIVERSIDADE ESTADUAL DE LONDRINA,Ato que autoriza a Contratação Direta nº 5069/2025,"AQUISIÇÃO DE ALHO FRESCO DESCASCADO, CAFÉ SOLÚVEL, ESPESSANTE E GELIFICANTE PARA ALIMENTOS, PARA ATENDER O RESTAURANTE UNIVERSITÁRIO E HOSPITAL UNIVERSITÁRIO DE LONDRINA.",tr_dl_423_2024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/78640489000153/compras/2025/73/arquivos/1,Ativo,"8905.22738-Alho, TIPO: Descascado nacional, ASPECTO: In natura, fresco, APRESENTAÇÃO: Bulbilhos inteiros, firme, sem casca, fungos e indício de germinação, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma (R$ 20.862,00)"
78640489000153-1-000096/2025,78640489000153-1-000096-2025.md,UNIVERSIDADE ESTADUAL DE LONDRINA,Edital nº 198/2025,"FORNECIMENTO PARCELADO DE ALCOOL ETILICO GEL, DETERGENTE LIQUIDO PARA USO EM MAQUINA DE LAVAR LOUÇA, ADITIVO LIQUIDO PARA SECAGEM DE LOUÇAS, ALVEJANTE QUIMICO EM PÓ, ENTRE OUTROS, PARA ATENDER O CAMPUS-UEL, RESTAURANTE UNIVERSITÁRIO-UEL, HOSPITAL VETERINÁRIO-UEL E HOSPITAL UNIVERSITÁRIO DE LONDRINA.",EDPE291-24COMPLETO.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/78640489000153/compras/2025/96/arquivos/1,Ativo,"(L1) 7902.75934-Secante abrilhantador, USO: Para lavagem mecânica de louças, PRINCÍPIO ATIVO: Polímero de óxido de propileno e etileno, COMPOSIÇÃO: Ativo, atenuador de espuma, sequestrante, corante, veículo e conservante, CARACTERÍSTICAS ADICIONAIS: Dosado eletronicamente por dosadores em Regime de comodato com injeção automática no enxague final a uma temperatura entre 80ºC e 90ºC, EMBALAGEM: Frasco de 5 litros, UNID. DE MEDIDA: Unitário (R$ 20.460,00); (L1) 7902.8280-Detergente, USO: Industrial, Específico para lavagem mecânica de louça em máquinas profissionais, Alcalino, Forma Física: Líquido, COMPOSIÇÃO: Hidróxido de Sódio, Água e Sequestrante, Dosado eletronicamente por dosadores em regime de comodato, Apresentando as seguintes características Físico Química: Dosagem: 0,25% mínima e 0,50% máxima (2,5ml/L a 5ml/L de àgua), pH à 1%: mínimo 11, Densidade (25°C): 1,1900  1,2900, Alcalinidade: mínimo de 5,2N, UNID. DE MEDIDA: Litro (R$ 15.151,50)"
78640489000153-1-000112/2025,78640489000153-1-000112-2025.md,UNIVERSIDADE ESTADUAL DE LONDRINA,Edital nº 209/2025,"FORNECIMENTO PARCELADO DE PRODUTOS DE LIMPEZA EM GERAL DETERGENTE QUÍMICO EM PÓ, SABÃO EM PÓ, RODO COM CABO DE ALIMÍNIO, ENTRE OUTROS, PARA ATENDER O CAMPUS-UEL, COU-UEL,PCU-UEL, RESTAURANTE UNIVERSITÁRIO - UEL, HOSPITAL VETERINÁRIO-UEL E HOSPITAL UNIVERSITÁRIO DE LONDRINA.",EDPE187-24COMPLETO.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/78640489000153/compras/2025/112/arquivos/1,Ativo,"(L1) 7907.21-Água sanitária, USO: Assepsia de ambientes e roupas, ASPECTO: Líquido, COMPOSIÇÃO: À base de hipoclorito de sódio ou cálcio, TEOR CLORO ATIVO: Entre 2,0% a 2,5% p/p (porcentagem em massa), COR: Amarela esverdeada e bastante fraca, CARACTERÍSTICAS ADICIONAIS: Isenta de corantes, detergentes e aromatizantes, EMBALAGEM: Frasco plástico com 1 litro, com tampa e lacre de segurança, UNID. DE MEDIDA: Unitário (R$ 30.500,00); (L2) 7907.54225-Álcool líquido, Etílico, 92,8º INPM, COMPOSIÇÃO: Álcool etílico, benzoato de denatônio e água, Solubilidade em água, COR: Incolor, AROMA: Característico, EMBALAGEM: Frasco de 1 litro, UNID. DE MEDIDA: Unitário (R$ 21.390,00)"
78640489000153-1-000183/2024,78640489000153-1-000183-2024.md,UNIVERSIDADE ESTADUAL DE LONDRINA,Edital nº 918/2024,"FORNECIMENTO PARCELADO DE MATERIAIS MÉDICOS HOSPITALARES DIVERSOS -MASCARA CIRURGICA, GORRO MASCULINO-FEMININO, ENTRE OUTROS - PARA ATENDER O COU-UEL, BEBE CLINICA-UEL, RESTAURANTE UNIVERSITÁRIO-UEL, HOSPITAL VETERINÁRIO-UEL E HOSPITAL UNIVERSITÁRIO DE LONDRINA.",EDPE066-24COMPLETO.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/78640489000153/compras/2024/183/arquivos/1,Ativo,"(L1) 6510.29064-Avental, Cirúrgico, MATERIAL: Em não tecido respirável SMS; Composto de três camadas, sendo duas camadas externas produzidas no processo; Spundbond compostas por fibras contínuas que conferem ao material resistência mecânica e maleabilidade. Outra camada interna produzida pelo processo Meltblown composta por um denso aglomerado de microfibras, que age como uma excelente barreira contra agentes contaminantes, TAMANHO: 1,70x 1,50m, Podendo Apresentar Variação em até 10% Crescente ou Decrescente, Impermeável, Estéril em Óxido de Etileno (ETO); Apresentar velcro para fechamento e ajuste da gola. Com punho canelado em malha. Oferecer barreira bacteriana; alta repelência a fluídos; alta resistência e conforto; fácil remoção sem contaminações. Dobradura cirúrgica em dupla embalagem que garanta abertura e transferência asséptica. Conter toalha para secagem das mãos. Atóxico e hipoalergênico. Isento de látex, COR: Azul, USO: Único, CARACTERÍSTICAS ADICIONAIS: Possuir número do registro do produto junto a Anvisa/MS; Possuir identificação de data de limite de uso, UNID. DE MEDIDA: Unitário (R$ 455.670,00); (L2) 8402.79149-Avental, USO: Para proteção frontal, COR: Branco ou transparente, MATERIAL: Polietileno, TAMANHO: Aproximadamente 1m de comprimento, CARACTERÍSTICAS ADICIONAIS: Plástico, descartável, sem mangas, com tiras para amarrar na cintura. Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário (R$ 48.279,00)"
